HomeTeam,AwayTeam,Penalties,Date,Time,Year,Home Team Goals,Away Team Goals,Total Goals Scored
Zaire,Scotland,[],14 June 1974,19:30,1974,0,2,2
Yugoslavia,Zaire,[],18 June 1974,19:30,1974,9,0,9
Poland,Argentina,[],15 June 1974,18:00,1974,3,2,5
Scotland,Yugoslavia,[],22 June 1974,16:00,1974,1,1,2
Zaire,Brazil,[],22 June 1974,16:00,1974,0,3,3
Uruguay,Netherlands,[],15 June 1974,16:00,1974,0,2,2
Sweden,Bulgaria,[],15 June 1974,16:00,1974,0,0,0
Bulgaria,Uruguay,[],19 June 1974,19:30,1974,1,1,2
Netherlands,Sweden,[],19 June 1974,19:30,1974,0,0,0
Bulgaria,Netherlands,[],23 June 1974,16:00,1974,1,4,5
Scotland,Brazil,[],18 June 1974,19:30,1974,0,0,0
Peru,Iran,[],11 June 1978,16:45,1978,4,1,5
Scotland,Netherlands,[],11 June 1978,16:45,1978,3,2,5
Austria,Netherlands,[],14 June 1978,13:45,1978,1,5,6
Italy,West Germany,[],14 June 1978,13:45,1978,0,0,0
Netherlands,West Germany,[],18 June 1978,16:45,1978,2,2,4
Italy,Austria,[],18 June 1978,16:45,1978,1,0,1
Austria,West Germany,[],21 June 1978,13:45,1978,3,2,5
Italy,Netherlands,[],21 June 1978,13:45,1978,1,2,3
West Germany,Mexico,[],6 June 1978,16:45,1978,6,0,6
Argentina,Poland,[],14 June 1978,19:15,1978,2,0,2
Peru,Poland,[],18 June 1978,13:45,1978,0,1,1
Argentina,Brazil,[],18 June 1978,19:15,1978,0,0,0
Brazil,Poland,[],21 June 1978,16:45,1978,3,1,4
Argentina,Peru,[],21 June 1978,19:15,1978,6,0,6
Brazil,Italy,[],24 June 1978,15:00,1978,2,1,3
Argentina,Netherlands,[],25 June 1978,15:00,1978,3,1,4
Netherlands,Peru,[],7 June 1978,16:45,1978,0,0,0
Brazil,Peru,[],14 June 1978,16:45,1978,3,0,3
Scotland,Iran,[],7 June 1978,16:45,1978,1,1,2
France,Hungary,[],10 June 1978,14:30,1978,3,1,4
