HomeTeam,Score,AwayTeam,Penalties,Date,Time,Year
Argentina ,0–0, Brazil,[],18 June 1978,19:15,1978
Brazil ,3–1, Poland,[],21 June 1978,16:45,1978
Argentina ,6–0, Peru,[],21 June 1978,19:15,1978
Brazil ,2–1, Italy,[],24 June 1978,15:00,1978
Argentina ,3–1 (a.e.t.), Netherlands,[],25 June 1978,15:00,1978
Italy ,0–0, Poland,[],14 June 1982,17:15,1982
Peru ,0–0, Cameroon,[],15 June 1982,17:15,1982
Italy ,1–1, Peru,[],18 June 1982,17:15,1982
Poland ,0–0, Cameroon,[],19 June 1982,17:15,1982
Poland ,5–1, Peru,[],22 June 1982,17:15,1982
Italy ,1–1, Cameroon,[],23 June 1982,17:15,1982
West Germany ,1–2, Algeria,[],16 June 1982,17:15,1982
Chile ,0–1, Austria,[],17 June 1982,17:15,1982
West Germany ,4–1, Chile,[],20 June 1982,17:15,1982
Algeria ,0–2, Austria,[],21 June 1982,17:15,1982
Algeria ,3–2, Chile,[],24 June 1982,17:15,1982
West Germany ,1–0, Austria,[],25 June 1982,17:15,1982
Argentina ,0–1, Belgium,[],13 June 1982,20:00,1982
Hungary ,10–1, El Salvador,[],15 June 1982,21:00,1982
Argentina ,4–1, Hungary,[],18 June 1982,21:00,1982
Belgium ,1–0, El Salvador,[],19 June 1982,21:00,1982
Belgium ,1–1, Hungary,[],22 June 1982,21:00,1982
Argentina ,2–0, El Salvador,[],23 June 1982,21:00,1982
England ,3–1, France,[],16 June 1982,17:15,1982
Czechoslovakia ,1–1, Kuwait,[],17 June 1982,17:15,1982
England ,2–0, Czechoslovakia,[],20 June 1982,17:15,1982
France ,4–1, Kuwait,[],21 June 1982,17:15,1982
France ,1–1, Czechoslovakia,[],24 June 1982,17:15,1982
England ,1–0, Kuwait,[],25 June 1982,17:15,1982
Spain ,1–1, Honduras,[],16 June 1982,21:00,1982
Yugoslavia ,0–0, Northern Ireland,[],17 June 1982,21:00,1982
Spain ,2–1, Yugoslavia,[],20 June 1982,21:00,1982
Honduras ,1–1, Northern Ireland,[],21 June 1982,21:00,1982
Honduras ,0–1, Yugoslavia,[],24 June 1982,21:00,1982
Spain ,0–1, Northern Ireland,[],25 June 1982,21:00,1982
Brazil ,2–1, Soviet Union,[],14 June 1982,21:00,1982
Scotland ,5–2, New Zealand,[],15 June 1982,21:00,1982
Brazil ,4–1, Scotland,[],18 June 1982,21:00,1982
Soviet Union ,3–0, New Zealand,[],19 June 1982,21:00,1982
Soviet Union ,2–2, Scotland,[],22 June 1982,21:00,1982
Brazil ,4–0, New Zealand,[],23 June 1982,21:00,1982
